Date,Open,High,Low,Close,Volume,Adj Close
20-01-2016,15989.4502,15989.4502,15450.55957,15766.74023,191870000,15766.74023
19-01-2016,16009.4502,16171.95996,15900.25,16016.01953,144360000,16016.01953
15-01-2016,16354.33008,16354.33008,15842.11035,15988.08008,239210000,15988.08008
14-01-2016,16159.00977,16482.05078,16075.12012,16379.04981,158830000,16379.04981
13-01-2016,16526.63086,16593.50977,16123.2002,16151.41016,153530000,16151.41016
12-01-2016,16419.10938,16591.34961,16322.07031,16516.2207,117480000,16516.2207
11-01-2016,16358.70996,16461.84961,16232.03027,16398.57031,127790000,16398.57031
08-01-2016,16519.16992,16651.89063,16314.57031,16346.4502,141850000,16346.4502
07-01-2016,16888.35938,16888.35938,16463.63086,16514.09961,176240000,16514.09961
06-01-2016,17154.83008,17154.83008,16817.61914,16906.50977,120250000,16906.50977
05-01-2016,17147.5,17195.83984,17038.60938,17158.66016,105750000,17158.66016
04-01-2016,17405.48047,17405.48047,16957.63086,17148.93945,148060000,17148.93945
31-12-2015,17590.66016,17590.66016,17421.16016,17425.0293,93690000,17425.0293
30-12-2015,17711.93945,17714.13086,17588.86914,17603.86914,59760000,17603.86914
29-12-2015,17547.36914,17750.01953,17547.36914,17720.98047,69860000,17720.98047
28-12-2015,17535.66016,17536.90039,17437.33984,17528.26953,59770000,17528.26953
24-12-2015,17593.25977,17606.33984,17543.94922,17552.16992,40350000,17552.16992
23-12-2015,17427.63086,17607.91992,17427.63086,17602.60938,92820000,17602.60938
22-12-2015,17253.55078,17451.10938,17242.85938,17417.26953,91570000,17417.26953
21-12-2015,17154.93945,17272.35938,17116.73047,17251.61914,114910000,17251.61914
18-12-2015,17495.03906,17496.58008,17124.31055,17128.55078,344560000,17128.55078
17-12-2015,17756.53906,17796.75977,17493.5,17495.83984,115780000,17495.83984
16-12-2015,17530.84961,17784.35938,17483.67969,17749.08984,123790000,17749.08984
15-12-2015,17374.7793,17627.63086,17341.17969,17524.91016,123430000,17524.91016
14-12-2015,17277.10938,17378.01953,17138.4707,17368.5,142540000,17368.5
11-12-2015,17574.75,17574.75,17230.5,17265.21094,134510000,17265.21094
10-12-2015,17493.16992,17697.74023,17474.66016,17574.75,107310000,17574.75
09-12-2015,17558.17969,17767.68945,17403.50977,17492.30078,122020000,17492.30078
08-12-2015,17703.99023,17703.99023,17485.39063,17568,113720000,17568
07-12-2015,17845.49023,17845.49023,17639.25,17730.50977,99670000,17730.50977
04-12-2015,17482.67969,17866.4707,17482.67969,17847.63086,137650000,17847.63086
03-12-2015,17741.57031,17780.58984,17425.56055,17477.66992,126990000,17477.66992
02-12-2015,17883.14063,17901.58008,17708.19922,17729.67969,102860000,17729.67969
01-12-2015,17719.7207,17895.5,17719.7207,17888.34961,103880000,17888.34961
30-11-2015,17802.83984,17837.24023,17719.78906,17719.91992,155560000,17719.91992
27-11-2015,17806.03906,17830.35938,17749.32031,17813.39063,82540000,17813.39063
25-11-2015,17820.81055,17854.91992,17801.83008,17813.39063,82540000,17813.39063
24-11-2015,17770.90039,17862.59961,17683.50977,17812.18945,127170000,17812.18945
23-11-2015,17823.60938,17868.17969,17751.5293,17792.67969,134680000,17792.67969
20-11-2015,17732.75,17914.33984,17732.75,17823.81055,153140000,17823.81055
19-11-2015,17739.83008,17772.9707,17681.98047,17732.75,114630000,17732.75
18-11-2015,17485.49023,17752.16016,17485.49023,17737.16016,106810000,17737.16016
17-11-2015,17486.99023,17599.33008,17451.41016,17489.5,167190000,17489.5
16-11-2015,17229.93945,17483.00977,17210.42969,17483.00977,137590000,17483.00977
13-11-2015,17439.25,17439.25,17238.89063,17245.24023,134640000,17245.24023
12-11-2015,17691.92969,17691.92969,17443.5,17448.07031,113660000,17448.07031
11-11-2015,17769.5,17807.17969,17696.91016,17702.2207,95230000,17702.2207
10-11-2015,17724.13086,17768.66016,17657.7207,17758.21094,108640000,17758.21094
09-11-2015,17900.7793,17900.7793,17667.7793,17730.48047,121210000,17730.48047
06-11-2015,17855.2207,17912.03906,17768.59961,17910.33008,107450000,17910.33008
05-11-2015,17871.25,17929.50977,17779.18945,17863.42969,98910000,17863.42969
04-11-2015,17929.58008,17964.11914,17828.83008,17867.58008,99890000,17867.58008
03-11-2015,17819.74023,17977.84961,17796.01953,17918.15039,92290000,17918.15039
02-11-2015,17672.61914,17845.90039,17655.01953,17828.75977,100840000,17828.75977
30-10-2015,17756.59961,17799.96094,17662.86914,17663.53906,149250000,17663.53906
29-10-2015,17771.5,17786,17684.7207,17755.80078,90300000,17755.80078
28-10-2015,17586.68945,17779.94922,17556.71094,17779.51953,115630000,17779.51953
27-10-2015,17608.89063,17635.17969,17540.57031,17581.42969,113960000,17581.42969
26-10-2015,17649.57031,17660.69922,17602.50977,17623.05078,116660000,17623.05078
23-10-2015,17525.10938,17679.36914,17525.10938,17646.69922,158090000,17646.69922
22-10-2015,17180.88086,17505.17969,17180.88086,17489.16016,152420000,17489.16016
21-10-2015,17225.92969,17314.99023,17153.13086,17168.60938,107100000,17168.60938
20-10-2015,17228.4707,17264.88086,17147.99023,17217.10938,106670000,17217.10938
19-10-2015,17209.42969,17235.94922,17129.18945,17230.53906,118430000,17230.53906
16-10-2015,17141.75,17220.01953,17107.34961,17215.9707,145880000,17215.9707
15-10-2015,16944.85938,17144.41992,16933.57031,17141.75,122960000,17141.75
14-10-2015,17079.08008,17111.38086,16887.66992,16924.75,120110000,16924.75
13-10-2015,17113.55078,17172.81055,17034.44922,17081.89063,99400000,17081.89063
12-10-2015,17082.28906,17139.21094,17064.58008,17131.85938,72500000,17131.85938
09-10-2015,17054.68945,17110.88086,17027.23047,17084.49023,103730000,17084.49023
08-10-2015,16904.16992,17081.2793,16859.33984,17050.75,100730000,17050.75
07-10-2015,16805.41992,16963.30078,16765,16912.28906,115690000,16912.28906
06-10-2015,16774.01953,16865.08984,16746.0293,16790.18945,120010000,16790.18945
05-10-2015,16502.09961,16798.36914,16502.09961,16776.42969,127660000,16776.42969
02-10-2015,16258.25,16472.76953,16013.66016,16472.36914,136870000,16472.36914
01-10-2015,16278.62012,16348.87012,16073.82031,16272.00977,111420000,16272.00977
30-09-2015,16057.08008,16297.59961,16057.08008,16284.7002,145740000,16284.7002
29-09-2015,16001.75977,16118.88965,15942.37012,16049.12988,121160000,16049.12988
28-09-2015,16313.25977,16313.25977,15981.84961,16001.88965,139930000,16001.88965
25-09-2015,16205.07031,16465.23047,16205.07031,16314.66992,130790000,16314.66992
24-09-2015,16257.11035,16257.11035,16016.36035,16201.32031,122220000,16201.32031
23-09-2015,16332.80957,16355.29004,16211.98047,16279.88965,86030000,16279.88965
22-09-2015,16477.44922,16477.44922,16221.73047,16330.46973,119010000,16330.46973
21-09-2015,16406.09961,16578.59961,16391.88086,16510.18945,90730000,16510.18945
18-09-2015,16674.74023,16674.74023,16343.75977,16384.58008,341690000,16384.58008
17-09-2015,16738.08008,16933.42969,16639.92969,16674.74023,129600000,16674.74023
16-09-2015,16599.50977,16755.98047,16593.90039,16739.94922,99620000,16739.94922
15-09-2015,16382.58008,16644.10938,16382.58008,16599.84961,93050000,16599.84961
14-09-2015,16450.85938,16450.85938,16330.87012,16370.95996,92660000,16370.95996
11-09-2015,16330.40039,16434.75977,16244.65039,16433.08984,104630000,16433.08984
10-09-2015,16252.57031,16441.93945,16212.08008,16330.40039,122690000,16330.40039
09-09-2015,16505.03906,16664.65039,16220.09961,16253.57031,118790000,16253.57031
08-09-2015,16109.92969,16503.41016,16109.92969,16492.67969,123870000,16492.67969
04-09-2015,16371.75977,16371.75977,16026.61035,16102.37988,127270000,16102.37988
03-09-2015,16364.33984,16550.07031,16317.30957,16374.75977,109730000,16374.75977
02-09-2015,16058.34961,16352.58008,16058.34961,16351.37988,133480000,16351.37988
01-09-2015,16528.0293,16528.0293,15979.9502,16058.34961,171390000,16058.34961
31-08-2015,16632.01953,16632.01953,16444.05078,16528.0293,141440000,16528.0293
28-08-2015,16649.41992,16669.9707,16535.17969,16643.00977,131790000,16643.00977
27-08-2015,16285.50977,16666.68945,16285.50977,16654.76953,171980000,16654.76953
26-08-2015,15676.25977,16303.75,15676.25977,16285.50977,208420000,16285.50977
25-08-2015,15882.26953,16312.94043,15651.24023,15666.44043,213220000,15666.44043
24-08-2015,16459.75,16459.75,15370.33008,15871.34961,293920000,15871.34961
21-08-2015,16990.68945,16990.68945,16459.55078,16459.75,225170000,16459.75
20-08-2015,17345.32031,17345.32031,16990.68945,16990.68945,128530000,16990.68945
19-08-2015,17508.74023,17517.18945,17282.41992,17348.73047,104720000,17348.73047
18-08-2015,17537.30078,17568.40039,17486.41992,17511.33984,79900000,17511.33984
17-08-2015,17472.66016,17551.40039,17341.7207,17545.17969,73380000,17545.17969
14-08-2015,17410.11914,17492.90039,17394.06055,17477.40039,82120000,17477.40039
13-08-2015,17401.64063,17481.7793,17341.33984,17408.25,88550000,17408.25
12-08-2015,17382.92969,17423.90039,17125.81055,17402.50977,120400000,17402.50977
11-08-2015,17593.58984,17593.58984,17352.63086,17402.83984,103010000,17402.83984
10-08-2015,17375.17969,17629.13086,17375.17969,17615.16992,92430000,17615.16992
07-08-2015,17414.93945,17414.93945,17279.08008,17373.38086,81800000,17373.38086
06-08-2015,17542.60938,17572.03906,17362.85938,17419.75,96170000,17419.75
05-08-2015,17555.24023,17661.36914,17492.90039,17540.4707,102450000,17540.4707
04-08-2015,17596.92969,17635.7793,17505.5,17550.68945,99060000,17550.68945
03-08-2015,17696.74023,17704.75977,17496.60938,17598.19922,87880000,17598.19922
31-07-2015,17755.86914,17783.58984,17671.58984,17689.85938,106120000,17689.85938
30-07-2015,17743.24023,17761.25,17640.84961,17745.98047,76650000,17745.98047
29-07-2015,17631.40039,17776.7793,17629.19922,17751.39063,93140000,17751.39063
28-07-2015,17449.81055,17650.07031,17449.81055,17630.26953,103450000,17630.26953
27-07-2015,17561.7793,17561.7793,17399.16992,17440.58984,117860000,17440.58984
24-07-2015,17731.05078,17756.53906,17553.73047,17568.5293,103470000,17568.5293
23-07-2015,17853.7793,17860.94922,17705.0293,17731.91992,88600000,17731.91992
22-07-2015,17918.34961,17919.34961,17807.41016,17851.03906,112370000,17851.03906
21-07-2015,18096.66992,18096.66992,17868.33984,17919.28906,100170000,17919.28906
20-07-2015,18085.91016,18137.11914,18064.5,18100.41016,75060000,18100.41016
17-07-2015,18117.58008,18121.11914,18032.06055,18086.44922,106510000,18086.44922
16-07-2015,18078.16016,18131.60938,18065.33008,18120.25,85030000,18120.25
15-07-2015,18053.38086,18090.39063,18010.15039,18050.16992,80460000,18050.16992
14-07-2015,17974.60938,18072.82031,17956.16992,18053.58008,76740000,18053.58008
13-07-2015,17787.26953,17987.57031,17787.26953,17977.67969,86380000,17977.67969
10-07-2015,17561.11914,17797.49023,17561.11914,17760.41016,85800000,17760.41016
09-07-2015,17530.38086,17764.84961,17530.38086,17548.61914,100520000,17548.61914
08-07-2015,17759.00977,17759.00977,17496.2207,17515.41992,69830000,17515.41992
07-07-2015,17684.91992,17793.44922,17465.67969,17776.91016,105840000,17776.91016
06-07-2015,17728.08008,17734.35938,17564.35938,17683.58008,90130000,17683.58008
02-07-2015,17763.32031,17825.49023,17687.51953,17730.10938,83080000,17730.10938
01-07-2015,17638.11914,17801.83008,17638.11914,17757.91016,87010000,17757.91016
30-06-2015,17599.96094,17714.66016,17576.5,17619.50977,126460000,17619.50977
29-06-2015,17936.74023,17936.74023,17590.55078,17596.34961,116340000,17596.34961
26-06-2015,17892.0293,18013.15039,17892.0293,17946.67969,158120000,17946.67969
25-06-2015,17977.10938,18036.09961,17890.35938,17890.35938,78990000,17890.35938
24-06-2015,18139.09961,18139.09961,17966.07031,17966.07031,104980000,17966.07031
23-06-2015,18121.7793,18188.81055,18108.09961,18144.07031,75970000,18144.07031
22-06-2015,18027.63086,18181.66992,18027.63086,18119.7793,77780000,18119.7793
19-06-2015,18116.24023,18117.71094,18010.58008,18015.94922,258300000,18015.94922
18-06-2015,17944.60938,18174.73047,17944.60938,18115.83984,94460000,18115.83984
17-06-2015,17909.58008,17998,17839.65039,17935.74023,92410000,17935.74023
16-06-2015,17787.42969,17919.61914,17774.11914,17904.48047,77510000,17904.48047
15-06-2015,17890.75977,17890.75977,17698.41992,17791.16992,91920000,17791.16992
12-06-2015,18035.83008,18035.83008,17857.07031,17898.83984,83760000,17898.83984
11-06-2015,18001.26953,18109.76953,18001.26953,18039.36914,89490000,18039.36914
10-06-2015,17765.38086,18045.14063,17765.38086,18000.40039,96980000,18000.40039
09-06-2015,17766.94922,17817.83008,17714.9707,17764.03906,90550000,17764.03906
08-06-2015,17849.46094,17852.34961,17760.60938,17766.55078,86300000,17766.55078
05-06-2015,17905.38086,17940.7793,17822.90039,17849.46094,89140000,17849.46094
04-06-2015,18072.4707,18087.15039,17876.94922,17905.58008,93470000,17905.58008
03-06-2015,18018.41992,18168.08984,18010.41992,18076.26953,73120000,18076.26953
02-06-2015,18033.33008,18091.86914,17925.33008,18011.93945,77550000,18011.93945
01-06-2015,18017.82031,18105.83008,17982.06055,18040.36914,85640000,18040.36914
29-05-2015,18128.11914,18128.11914,17967.74023,18010.67969,139810000,18010.67969
28-05-2015,18154.14063,18154.14063,18066.40039,18126.11914,67510000,18126.11914
27-05-2015,18045.08008,18190.34961,18045.08008,18162.99023,96400000,18162.99023
26-05-2015,18229.75,18229.75,17990.01953,18041.53906,109440000,18041.53906
22-05-2015,18286.86914,18286.86914,18217.14063,18232.01953,78890000,18232.01953
21-05-2015,18285.86914,18314.89063,18249.90039,18285.74023,84270000,18285.74023
20-05-2015,18315.06055,18350.13086,18272.56055,18285.40039,80190000,18285.40039
19-05-2015,18300.48047,18351.35938,18261.34961,18312.39063,87200000,18312.39063
18-05-2015,18267.25,18325.53906,18244.25977,18298.88086,79080000,18298.88086
